2.000000000000000000e+00,5.000000000000000000e+00
1.000000000000000000e+00,1.010000000000000000e+02
4.000000000000000000e+00,1.810000000000000000e+02
5.000000000000000000e+00,4.700000000000000000e+01
5.000000000000000000e+00,4.700000000000000000e+01
2.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,1.340000000000000000e+02
5.000000000000000000e+00,1.340000000000000000e+02
3.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,1.600000000000000000e+01
5.000000000000000000e+00,1.600000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+00
5.000000000000000000e+00,3.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01
4.000000000000000000e+00,1.500000000000000000e+02
4.000000000000000000e+00,1.500000000000000000e+02
4.000000000000000000e+00,1.500000000000000000e+02
5.000000000000000000e+00,9.300000000000000000e+01
4.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02
4.000000000000000000e+00,1.780000000000000000e+02
4.000000000000000000e+00,1.780000000000000000e+02
4.000000000000000000e+00,1.780000000000000000e+02
3.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+00,3.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+00,2.100000000000000000e+01
4.000000000000000000e+00,2.100000000000000000e+01
4.000000000000000000e+00,2.100000000000000000e+01
3.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+00,1.100000000000000000e+01
3.000000000000000000e+00,8.100000000000000000e+01
4.000000000000000000e+00,4.000000000000000000e+00
3.000000000000000000e+00,7.800000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+00
3.000000000000000000e+00,1.100000000000000000e+01
3.000000000000000000e+00,1.100000000000000000e+01
